//  TRX,  INT,   STRING, STRING,      INT,double,#   STRING,   int,  string_Ary, string_Ary, double_Ary, double_Ary,double_Ary,double_Ary,double_Ary,string
//RX|TX,mBand,port_name,BB_Path,RXPLL_sel,inLoss,#  test_Type, burst, type,  ifmode,      pow1,       pow2,     freq1,     freq2,  baseband, mGainReg,,
RX,40,RXRF_HB5A,A,1,0
,,,,,,FILT,15,FILT_3G_SC_3.5MHz,3G_SC,-28.0,,2353.5e6,,3.5e6,18,-3
,,,,,,,,FILT_3G_SC_5MHz,3G_SC,-28.0,,2355.0e6,,5.0e6,18,-3
,,,,,,,,FILT_3G_SC_15MHz,3G_SC,-28.0,,2365.0e6,,15.0e6,18,-3
,,,,,,,,FILT_3G_DC_7.5MHz,3G_DC,-28.0,,2357.5e6,,7.5e6,18,-3
,,,,,,,,FILT_3G_DC_12.5MHz,3G_DC,-28.0,,2362.5e6,,12.5e6,18,-3
,,,,,,,,FILT_3G_DC_20MHz,3G_DC,-28.0,,2370.0e6,,20.0e6,18,-3
,,,,,,,,FILT_4G_5MHz_5MHz,4G_5MHz,-28.0,,2355.0e6,,5.0e6,18,-5
,,,,,,,,FILT_4G_5MHz_10MHz,4G_5MHz,-28.0,,2360.0e6,,10.0e6,18,-5
,,,,,,,,FILT_4G_5MHz_15MHz,4G_5MHz,-28.0,,2365.0e6,,15.0e6,18,-5
,,,,,,,,FILT_4G_10MHz_7.5MHz,4G_10MHz,-28.0,,2357.5e6,,7.5e6,18,-5
,,,,,,,,FILT_4G_10MHz_12.5MHz,4G_10MHz,-28.0,,2362.5e6,,12.5e6,18,-5
,,,,,,,,FILT_4G_10MHz_25MHz,4G_10MHz,-28.0,,2375.0e6,,25.0e6,18,-5
,,,,,,,,FILT_4G_20MHz_15MHz,4G_20MHz,-28.0,,2365.0e6,,15.0e6,18,-5
,,,,,,,,FILT_4G_20MHz_22.5MHz,4G_20MHz,-28.0,,2372.5e6,,22.5e6,18,-5
,,,,,,,,FILT_4G_40MHz_40MHz,4G_40MHz,-28.0,,2390.0e6,,40.0e6,18,-5
,,,,,,FILT_NOLNA,15,FILT_3G_SC_3.5MHz,3G_SC,-28.0,,2353.5e6,,3.5e6,4,-3
,,,,,,,,FILT_3G_SC_5MHz,3G_SC,-28.0,,2355.0e6,,5.0e6,4,-3
,,,,,,,,FILT_3G_SC_15MHz,3G_SC,-28.0,,2365.0e6,,15.0e6,4,-3
,,,,,,,,FILT_3G_DC_7.5MHz,3G_DC,-28.0,,2357.5e6,,7.5e6,4,-3
,,,,,,,,FILT_3G_DC_12.5MHz,3G_DC,-28.0,,2362.5e6,,12.5e6,4,-3
,,,,,,,,FILT_3G_DC_20MHz,3G_DC,-28.0,,2370.0e6,,20.0e6,4,-3
,,,,,,,,FILT_4G_5MHz_5MHz,4G_5MHz,-28.0,,2355.0e6,,5.0e6,4,-5
,,,,,,,,FILT_4G_5MHz_10MHz,4G_5MHz,-28.0,,2360.0e6,,10.0e6,4,-5
,,,,,,,,FILT_4G_5MHz_15MHz,4G_5MHz,-28.0,,2365.0e6,,15.0e6,4,-5
,,,,,,,,FILT_4G_10MHz_7.5MHz,4G_10MHz,-28.0,,2357.5e6,,7.5e6,4,-5
,,,,,,,,FILT_4G_10MHz_12.5MHz,4G_10MHz,-28.0,,2362.5e6,,12.5e6,4,-5
,,,,,,,,FILT_4G_10MHz_25MHz,4G_10MHz,-28.0,,2375.0e6,,25.0e6,4,-5
,,,,,,,,FILT_4G_20MHz_15MHz,4G_20MHz,-28.0,,2365.0e6,,15.0e6,4,-5
,,,,,,,,FILT_4G_20MHz_22.5MHz,4G_20MHz,-28.0,,2372.5e6,,22.5e6,4,-5
,,,,,,,,FILT_4G_40MHz_40MHz,4G_40MHz,-28.0,,2390.0e6,,40.0e6,4,-5
,,,,,,GAIN,19,GMAX,2G,-70.0,,2350.1e6,,0.1e6,37,12
,,,,,,,,GAIN_3G_AGC1,3G_SC,-65.0,,2350.1e6,,0.1e6,37,10
,,,,,,,,GSTEP_6dB,3G_SC,-70.0,,2350.1e6,,0.1e6,31,12
,,,,,,,,GSTEP_12dB,3G_SC,-70.0,,2350.1e6,,0.1e6,25,12
,,,,,,,,GSTEP_18dB,3G_SC,-70.0,,2350.1e6,,0.1e6,19,12
,,,,,,,,GSTEP_24dB,3G_SC,-70.0,,2350.1e6,,0.1e6,13,12
,,,,,,,,GSTEP_30dB,3G_SC,-70.0,,2350.1e6,,0.1e6,7,12
,,,,,,,,VGA_GSTEP_2dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,10
,,,,,,,,VGA_GSTEP_4dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,8
,,,,,,,,VGA_GSTEP_6dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,6
,,,,,,,,VGA_GSTEP_8dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,4
,,,,,,,,VGA_GSTEP_10dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,2
,,,,,,,,VGA_GSTEP_12dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,0
,,,,,,,,VGA_GSTEP_14dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,-2
,,,,,,,,VGA_GSTEP_16dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,-4
,,,,,,,,VGA_GSTEP_18dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,-6
,,,,,,,,VGA_GSTEP_20dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,-8
,,,,,,,,VGA_GSTEP_22dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,-10
,,,,,,,,VGA_GSTEP_24dB,3G_SC,-70.0,,2350.1e6,,0.1e6,37,-12
,,,,,,GAIN_NOLNA,19,GMAX,2G,-88.0,,2350.1e6,,0.1e6,23,12
,,,,,,,,GAIN_3G_AGC1,3G_SC,-65.0,,2350.1e6,,0.1e6,23,10
,,,,,,,,GSTEP_6dB,3G_SC,-70.0,,2350.1e6,,0.1e6,31,12
,,,,,,,,GSTEP_12dB,3G_SC,-70.0,,2350.1e6,,0.1e6,25,12
,,,,,,,,GSTEP_18dB,3G_SC,-70.0,,2350.1e6,,0.1e6,19,12
,,,,,,,,GSTEP_24dB,3G_SC,-70.0,,2350.1e6,,0.1e6,13,12
,,,,,,,,GSTEP_30dB,3G_SC,-70.0,,2350.1e6,,0.1e6,7,12
,,,,,,,,VGA_GSTEP_2dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,10
,,,,,,,,VGA_GSTEP_4dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,8
,,,,,,,,VGA_GSTEP_6dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,6
,,,,,,,,VGA_GSTEP_8dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,4
,,,,,,,,VGA_GSTEP_10dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,2
,,,,,,,,VGA_GSTEP_12dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,0
,,,,,,,,VGA_GSTEP_14dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,-2
,,,,,,,,VGA_GSTEP_16dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,-4
,,,,,,,,VGA_GSTEP_18dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,-6
,,,,,,,,VGA_GSTEP_20dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,-8
,,,,,,,,VGA_GSTEP_22dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,-10
,,,,,,,,VGA_GSTEP_24dB,3G_SC,-70.0,,2350.1e6,,0.1e6,23,-12
,,,,,,IIP,3,IB_IIP3_4G_40MHz,4G_40MHz,-50.0,,2322.4e6,2295.0e6,0.2e6,31,6
,,,,,,,,OOB_IIP3_HDUP_4G_40MHz,4G_40MHz,-30.0,,2350.1e6,2350.0e6,0.1e6,37,6
,,,,,,,,OOB_IIP3_2DUP_4G_40MHz,4G_40MHz,-30.0,,2350.1e6,2350.0e6,0.1e6,37,6
,,,,,,IIP_NOLNA,3,IB_IIP3_4G_40MHz,4G_40MHz,-50.0,,2322.4e6,2295.0e6,0.2e6,17,6
,,,,,,,,OOB_IIP3_HDUP_4G_40MHz,4G_40MHz,-30.0,,2350.1e6,2350.0e6,0.1e6,23,6
,,,,,,,,OOB_IIP3_2DUP_4G_40MHz,4G_40MHz,-30.0,,2350.1e6,2350.0e6,0.1e6,23,6
,,,,,,NF,3,NF_2G,2G,-70.0,,2350.1e6,,0.1e6,37,12
,,,,,,,,NF_3G_SC,3G_SC,-70.0,,2350.1e6,,0.1e6,37,10
,,,,,,,,NF_4G_20MHz,4G_20MHz,-65.0,,2350.1e6,,0.1e6,37,10
,,,,,,NF_NOLNA,3,NF_2G,2G,-70.0,,2350.1e6,,0.1e6,23,12
,,,,,,,,NF_3G_SC,3G_SC,-70.0,,2350.1e6,,0.1e6,23,10
,,,,,,,,NF_4G_20MHz,4G_20MHz,-65.0,,2350.1e6,,0.1e6,23,10
RX,1,RXRF_HB1B,B,1,0
,,,,,,DCOS,1,DCOS_Uncal,3G_SC,,,2140.0e6,,,37,12
,,,,,,DCOS_NOLNA,1,DCOS_Uncal,3G_SC,,,2140.0e6,,,23,12
,,,,,,FILT,15,FILT_3G_SC_3.5MHz,3G_SC,-28.0,,2143.5e6,,3.5e6,18,-3
,,,,,,,,FILT_3G_SC_5MHz,3G_SC,-28.0,,2145.0e6,,5.0e6,18,-3
,,,,,,,,FILT_3G_SC_15MHz,3G_SC,-28.0,,2155.0e6,,15.0e6,18,-3
,,,,,,,,FILT_3G_DC_7.5MHz,3G_DC,-28.0,,2147.5e6,,7.5e6,18,-3
,,,,,,,,FILT_3G_DC_12.5MHz,3G_DC,-28.0,,2152.5e6,,12.5e6,18,-3
,,,,,,,,FILT_3G_DC_20MHz,3G_DC,-28.0,,2160.0e6,,20.0e6,18,-3
,,,,,,,,FILT_4G_5MHz_5MHz,4G_5MHz,-28.0,,2145.0e6,,5.0e6,18,-5
,,,,,,,,FILT_4G_5MHz_10MHz,4G_5MHz,-28.0,,2150.0e6,,10.0e6,18,-5
,,,,,,,,FILT_4G_5MHz_15MHz,4G_5MHz,-28.0,,2155.0e6,,15.0e6,18,-5
,,,,,,,,FILT_4G_10MHz_7.5MHz,4G_10MHz,-28.0,,2147.5e6,,7.5e6,18,-5
,,,,,,,,FILT_4G_10MHz_12.5MHz,4G_10MHz,-28.0,,2152.5e6,,12.5e6,18,-5
,,,,,,,,FILT_4G_10MHz_25MHz,4G_10MHz,-28.0,,2165.0e6,,25.0e6,18,-5
,,,,,,,,FILT_4G_20MHz_15MHz,4G_20MHz,-28.0,,2155.0e6,,15.0e6,18,-5
,,,,,,,,FILT_4G_20MHz_22.5MHz,4G_20MHz,-28.0,,2162.5e6,,22.5e6,18,-5
,,,,,,,,FILT_4G_40MHz_40MHz,4G_40MHz,-28.0,,2180.0e6,,40.0e6,18,-5
,,,,,,FILT_NOLNA,15,FILT_3G_SC_3.5MHz,3G_SC,-28.0,,2143.5e6,,3.5e6,4,-3
,,,,,,,,FILT_3G_SC_5MHz,3G_SC,-28.0,,2145.0e6,,5.0e6,4,-3
,,,,,,,,FILT_3G_SC_15MHz,3G_SC,-28.0,,2155.0e6,,15.0e6,4,-3
,,,,,,,,FILT_3G_DC_7.5MHz,3G_DC,-28.0,,2147.5e6,,7.5e6,4,-3
,,,,,,,,FILT_3G_DC_12.5MHz,3G_DC,-28.0,,2152.5e6,,12.5e6,4,-3
,,,,,,,,FILT_3G_DC_20MHz,3G_DC,-28.0,,2160.0e6,,20.0e6,4,-3
,,,,,,,,FILT_4G_5MHz_5MHz,4G_5MHz,-28.0,,2145.0e6,,5.0e6,4,-5
,,,,,,,,FILT_4G_5MHz_10MHz,4G_5MHz,-28.0,,2150.0e6,,10.0e6,4,-5
,,,,,,,,FILT_4G_5MHz_15MHz,4G_5MHz,-28.0,,2155.0e6,,15.0e6,4,-5
,,,,,,,,FILT_4G_10MHz_7.5MHz,4G_10MHz,-28.0,,2147.5e6,,7.5e6,4,-5
,,,,,,,,FILT_4G_10MHz_12.5MHz,4G_10MHz,-28.0,,2152.5e6,,12.5e6,4,-5
,,,,,,,,FILT_4G_10MHz_25MHz,4G_10MHz,-28.0,,2165.0e6,,25.0e6,4,-5
,,,,,,,,FILT_4G_20MHz_15MHz,4G_20MHz,-28.0,,2155.0e6,,15.0e6,4,-5
,,,,,,,,FILT_4G_20MHz_22.5MHz,4G_20MHz,-28.0,,2162.5e6,,22.5e6,4,-5
,,,,,,,,FILT_4G_40MHz_40MHz,4G_40MHz,-28.0,,2180.0e6,,40.0e6,4,-5
,,,,,,GAIN,10,GMAX,2G,-70.0,,2140.1e6,,0.1e6,37,12
,,,,,,,,GAIN_2G_AGC1,2G,-70.0,,2140.1e6,,0.1e6,37,12
,,,,,,,,GAIN_3G_AGC1,3G_SC,-65.0,,2140.1e6,,0.1e6,37,10
,,,,,,,,GAIN_4G_AGC1,4G_10MHz,-61.0,,2140.1e6,,0.1e6,37,6
,,,,,,,,GSTEP_6dB,3G_SC,-70.0,,2140.1e6,,0.1e6,31,12
,,,,,,,,GSTEP_12dB,3G_SC,-70.0,,2140.1e6,,0.1e6,25,12
,,,,,,,,GSTEP_18dB,3G_SC,-70.0,,2140.1e6,,0.1e6,19,12
,,,,,,,,GSTEP_24dB,3G_SC,-70.0,,2140.1e6,,0.1e6,13,12
,,,,,,,,GSTEP_30dB,3G_SC,-70.0,,2140.1e6,,0.1e6,7,12
,,,,,,,,GSTEP_42dB,3G_SC,-70.0,,2140.1e6,,0.1e6,1,12
,,,,,,GAIN_NOLNA,10,GMAX,2G,-88.0,,2140.1e6,,0.1e6,23,12
,,,,,,,,GAIN_2G_AGC1,2G,-88.0,,2140.1e6,,0.1e6,23,12
,,,,,,,,GAIN_3G_AGC1,3G_SC,-65.0,,2140.1e6,,0.1e6,23,10
,,,,,,,,GAIN_4G_AGC1,4G_10MHz,-61.0,,2140.1e6,,0.1e6,23,6
,,,,,,,,GSTEP_6dB,3G_SC,-70.0,,2140.1e6,,0.1e6,31,12
,,,,,,,,GSTEP_12dB,3G_SC,-70.0,,2140.1e6,,0.1e6,25,12
,,,,,,,,GSTEP_18dB,3G_SC,-70.0,,2140.1e6,,0.1e6,19,12
,,,,,,,,GSTEP_24dB,3G_SC,-70.0,,2140.1e6,,0.1e6,13,12
,,,,,,,,GSTEP_30dB,3G_SC,-70.0,,2140.1e6,,0.1e6,7,12
,,,,,,,,GSTEP_42dB,3G_SC,-70.0,,2140.1e6,,0.1e6,1,12
,,,,,,GAIN_eDSDS,1,GAIN_eDSDS_All_max,2G,-88.0,,2140.1e6,,0.1e6,37,12
,,,,,,GAIN_eDSDS_NOLNA,1,GAIN_eDSDS_All_max,2G,-88.0,,2140.1e6,,0.1e6,23,12
,,,,,,IIP,26,IB_IIP3_2G,2G,-50.0,,2139.2e6,2138.5e6,0.1e6,37,12
,,,,,,,,IB_IIP3_3G_SC,3G_SC,-50.0,,2136.5e6,2134.1e6,1.1e6,37,10
,,,,,,,,IB_IIP3_3G_DC,3G_DC,-50.0,,2134.0e6,2131.6e6,3.6e6,34,5
,,,,,,,,IB_IIP3_TDSCDMA,TDSCDMA,-50.0,,2136.7e6,2133.6e6,0.2e6,37,10
,,,,,,,,IB_IIP3_4G_1.4MHz,4G_1.4MHz,-50.0,,2137.1e6,2134.4e6,0.2e6,37,6
,,,,,,,,IB_IIP3_4G_5MHz,4G_5MHz,-50.0,,2129.9e6,2120.0e6,0.2e6,37,6
,,,,,,,,IB_IIP3_4G_10MHz,4G_10MHz,-50.0,,2127.4e6,2115.0e6,0.2e6,37,6
,,,,,,,,IB_IIP3_4G_15MHz,4G_15MHz,-50.0,,2124.9e6,2110.0e6,0.2e6,37,6
,,,,,,,,IB_IIP3_4G_20MHz,4G_20MHz,-50.0,,2122.4e6,2105.0e6,0.2e6,37,6
,,,,,,,,OOB_IIP3_HDUP_3G_SC,3G_SC,-30.0,,2045.1e6,1950.0e6,0.2e6,37,10
,,,,,,,,OOB_IIP3_HDUP_3G_DC,3G_DC,-30.0,,2045.1e6,1950.0e6,0.2e6,37,10
,,,,,,,,OOB_IIP3_HDUP_4G_20MHz,4G_20MHz,-30.0,,2045.1e6,1950.0e6,0.2e6,37,6
,,,,,,,,OOB_IIP3_2DUP_3G_SC,3G_SC,-30.0,,1760.1e6,1950.0e6,0.1e6,37,10
,,,,,,,,OOB_IIP3_2DUP_3G_DC,3G_DC,-30.0,,1760.1e6,1950.0e6,0.1e6,37,10
,,,,,,,,OOB_IIP3_2DUP_4G_5MHz,4G_5MHz,-30.0,,1760.1e6,1950.0e6,0.1e6,37,6
,,,,,,,,OOB_IIP3_2DUP_4G_10MHz,4G_10MHz,-30.0,,1760.1e6,1950.0e6,0.1e6,37,6
,,,,,,,,OOB_IIP3_2DUP_4G_15MHz,4G_15MHz,-30.0,,1760.1e6,1950.0e6,0.1e6,37,6
,,,,,,,,OOB_IIP3_2DUP_4G_20MHz,4G_20MHz,-30.0,,1760.1e6,1950.0e6,0.1e6,37,6
,,,,,,,,IB_IIP2_2G_Uncal,2G,-33.0,,2134.1e6,2134.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_1.4MHz_Uncal,4G_1.4MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_3MHz_Uncal,4G_3MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_5MHz_Uncal,4G_5MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_10MHz_Uncal,4G_10MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_15MHz_Uncal,4G_15MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_20MHz_Uncal,4G_20MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_40MHz_Uncal,4G_40MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,IIP_NOLNA,26,IB_IIP3_2G,2G,-50.0,,2139.2e6,2138.5e6,0.1e6,23,12
,,,,,,,,IB_IIP3_3G_SC,3G_SC,-50.0,,2136.5e6,2134.1e6,1.1e6,23,10
,,,,,,,,IB_IIP3_3G_DC,3G_DC,-50.0,,2134.0e6,2131.6e6,3.6e6,20,5
,,,,,,,,IB_IIP3_TDSCDMA,TDSCDMA,-50.0,,2136.7e6,2133.6e6,0.2e6,23,10
,,,,,,,,IB_IIP3_4G_1.4MHz,4G_1.4MHz,-50.0,,2137.1e6,2134.4e6,0.2e6,23,6
,,,,,,,,IB_IIP3_4G_5MHz,4G_5MHz,-50.0,,2129.9e6,2120.0e6,0.2e6,23,6
,,,,,,,,IB_IIP3_4G_10MHz,4G_10MHz,-50.0,,2127.4e6,2115.0e6,0.2e6,23,6
,,,,,,,,IB_IIP3_4G_15MHz,4G_15MHz,-50.0,,2124.9e6,2110.0e6,0.2e6,23,6
,,,,,,,,IB_IIP3_4G_20MHz,4G_20MHz,-50.0,,2122.4e6,2105.0e6,0.2e6,23,6
,,,,,,,,OOB_IIP3_HDUP_3G_SC,3G_SC,-30.0,,2045.1e6,1950.0e6,0.2e6,23,10
,,,,,,,,OOB_IIP3_HDUP_3G_DC,3G_DC,-30.0,,2045.1e6,1950.0e6,0.2e6,23,10
,,,,,,,,OOB_IIP3_HDUP_4G_20MHz,4G_20MHz,-30.0,,2045.1e6,1950.0e6,0.2e6,23,6
,,,,,,,,OOB_IIP3_2DUP_3G_SC,3G_SC,-30.0,,1760.1e6,1950.0e6,0.1e6,23,10
,,,,,,,,OOB_IIP3_2DUP_3G_DC,3G_DC,-30.0,,1760.1e6,1950.0e6,0.1e6,23,10
,,,,,,,,OOB_IIP3_2DUP_4G_5MHz,4G_5MHz,-30.0,,1760.1e6,1950.0e6,0.1e6,23,6
,,,,,,,,OOB_IIP3_2DUP_4G_10MHz,4G_10MHz,-30.0,,1760.1e6,1950.0e6,0.1e6,23,6
,,,,,,,,OOB_IIP3_2DUP_4G_15MHz,4G_15MHz,-30.0,,1760.1e6,1950.0e6,0.1e6,23,6
,,,,,,,,OOB_IIP3_2DUP_4G_20MHz,4G_20MHz,-30.0,,1760.1e6,1950.0e6,0.1e6,23,6
,,,,,,,,IB_IIP2_2G_Uncal,2G,-33.0,,2134.1e6,2134.0e6,0.1e6,23,12
,,,,,,,,OOB_IIP2_4G_1.4MHz_Uncal,4G_1.4MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,23,12
,,,,,,,,OOB_IIP2_4G_3MHz_Uncal,4G_3MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,23,12
,,,,,,,,OOB_IIP2_4G_5MHz_Uncal,4G_5MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,23,12
,,,,,,,,OOB_IIP2_4G_10MHz_Uncal,4G_10MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,23,12
,,,,,,,,OOB_IIP2_4G_15MHz_Uncal,4G_15MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,23,12
,,,,,,,,OOB_IIP2_4G_20MHz_Uncal,4G_20MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,23,12
,,,,,,,,OOB_IIP2_4G_40MHz_Uncal,4G_40MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,23,12
,,,,,,IR,1,IR,3G_SC,-28.0,,2140.1e6,,0.1e6,18,-3
,,,,,,IR_NOLNA,1,IR,3G_SC,-28.0,,2140.1e6,,0.1e6,4,-3
,,,,,,NF,5,NF_2G,2G,-70.0,,2140.1e6,,0.1e6,37,12
,,,,,,,,NF_3G_SC,3G_SC,-70.0,,2140.1e6,,0.1e6,37,10
,,,,,,,,NF_TDSCDMA,TDSCDMA,-70.0,,2140.1e6,,0.1e6,37,6
,,,,,,,,NF_4G_10MHz,4G_10MHz,-70.0,,2140.1e6,,0.1e6,37,6
,,,,,,,,NF_4G_20MHz,4G_20MHz,-65.0,,2140.1e6,,0.1e6,37,10
,,,,,,NF_NOLNA,5,NF_2G,2G,-70.0,,2140.1e6,,0.1e6,23,12
,,,,,,,,NF_3G_SC,3G_SC,-70.0,,2140.1e6,,0.1e6,23,10
,,,,,,,,NF_TDSCDMA,TDSCDMA,-70.0,,2140.1e6,,0.1e6,23,6
,,,,,,,,NF_4G_10MHz,4G_10MHz,-70.0,,2140.1e6,,0.1e6,23,6
,,,,,,,,NF_4G_20MHz,4G_20MHz,-65.0,,2140.1e6,,0.1e6,23,10
RX,23,RXRF_HB4A,A,1,0
,,,,,,GAIN,8,GMAX,2G,-70.0,,2190.1e6,,0.1e6,37,12
,,,,,,,,GAIN_3G_AGC1,3G_SC,-65.0,,2190.1e6,,0.1e6,37,10
,,,,,,,,GSTEP_6dB,3G_SC,-70.0,,2190.1e6,,0.1e6,31,12
,,,,,,,,GSTEP_12dB,3G_SC,-70.0,,2190.1e6,,0.1e6,25,12
,,,,,,,,GSTEP_18dB,3G_SC,-70.0,,2190.1e6,,0.1e6,19,12
,,,,,,,,GSTEP_24dB,3G_SC,-70.0,,2190.1e6,,0.1e6,13,12
,,,,,,,,GSTEP_30dB,3G_SC,-70.0,,2190.1e6,,0.1e6,7,12
,,,,,,,,GSTEP_42dB,3G_SC,-70.0,,2190.1e6,,0.1e6,1,12
,,,,,,GAIN_NOLNA,8,GMAX,2G,-88.0,,2190.1e6,,0.1e6,23,12
,,,,,,,,GAIN_3G_AGC1,3G_SC,-65.0,,2190.1e6,,0.1e6,23,10
,,,,,,,,GSTEP_6dB,3G_SC,-70.0,,2190.1e6,,0.1e6,31,12
,,,,,,,,GSTEP_12dB,3G_SC,-70.0,,2190.1e6,,0.1e6,25,12
,,,,,,,,GSTEP_18dB,3G_SC,-70.0,,2190.1e6,,0.1e6,19,12
,,,,,,,,GSTEP_24dB,3G_SC,-70.0,,2190.1e6,,0.1e6,13,12
,,,,,,,,GSTEP_30dB,3G_SC,-70.0,,2190.1e6,,0.1e6,7,12
,,,,,,,,GSTEP_42dB,3G_SC,-70.0,,2190.1e6,,0.1e6,1,12
,,,,,,NF,1,NF_3G_SC,3G_SC,-70.0,,2190.1e6,,0.1e6,37,10
,,,,,,NF_NOLNA,1,NF_3G_SC,3G_SC,-70.0,,2190.1e6,,0.1e6,23,10
RX,12,RXRF_LB4A,A,1,0
,,,,,,DCOS,1,DCOS_Uncal,3G_SC,,,737.5e6,,,37,12
,,,,,,DCOS_NOLNA,1,DCOS_Uncal,3G_SC,,,737.5e6,,,23,12
,,,,,,GAIN,9,GMAX,2G,-70.0,,737.6e6,,0.1e6,37,12
,,,,,,,,GAIN_3G_AGC1,3G_SC,-65.0,,737.6e6,,0.1e6,37,10
,,,,,,,,GAIN_4G_AGC1,4G_10MHz,-61.0,,737.6e6,,0.1e6,37,6
,,,,,,,,GSTEP_6dB,3G_SC,-70.0,,737.6e6,,0.1e6,31,12
,,,,,,,,GSTEP_12dB,3G_SC,-70.0,,737.6e6,,0.1e6,25,12
